id	name	element	description	imagepath	attack	defense	power
17	Katara	WATER	Waterbending master from Southern Water Tribe, sister of Sokka, and friend of Aang.	Katara.png	13	7	5
18	Sokka	WATER	Water Tribe warrior of the Southern Water Tribe.	Sokka.png	6	10	3
19	Yue	WATER	Princess of the Northern Water Tribe.	Yue.png	4	9	2
20	Hakoda	WATER	Father of Sokka and Katara, leading the Invasion of the Fire Nation.	Hakoda.png	7	11	4
21	Huu	WATER	Waterbending master from Foggy Swamp Tribe.	Huu.png	8	5	2
22	Hama	WATER	Developer of bloodbending.	Hama.png	12	6	4
23	Pakku	WATER	Aang's teacher for waterbending at Northern Water Tribe.	Pakku.png	10	6	3
24	Arnook	WATER	Chief of the Northern Water Tribe.	Arnook.png	4	7	1
25	Kuruk	WATER	Water Tribe Avatar, predecessor of Avatar Kyoshi.	Kuruk.png	6	14	5
26	Bato	WATER	Friend of Hakoda since childhood.	Bato.png	7	9	3
27	Due	WATER	Waterbending master from Foggy Swamp Tribe.	Due.png	5	8	2
28	Hahn	WATER	Yue's fiance.	Hahn.png	8	3	1
29	Aang	AIR	Avatar Roku's successor. Also learned how to energybending.	Aang.png	14	6	5
30	Appa	AIR	Aang's loyal sky bison friend.	Appa.png	5	8	2
31	Momo	AIR	Aang's loyal winged lemur friend.	Momo.png	6	5	1
32	Gyatso	AIR	Aang's guardian, mentor, and father figure.	Gyatso.png	5	10	3
33	Teo	AIR	Paraplegic Earth Kingdom boy who lived in the Northern Air Temple with his father, the mechanist.	Teo.png	5	6	1
34	Yangchen	AIR	Air Nomad Avatar before Aang, predecessor of Kuruk.	Yangchen.png	10	8	4
35	Afiko	AIR	Airbender of Southern Air Temple that revealed the location of his home to the Fire Nation.	Afiko.png	7	6	2
36	Iio	AIR	Air Nomad nun and the Mother Superior of the Eastern Air Temple.	Iio.png	5	8	2
37	Pathik	AIR	A nomadic supercentenarian who possessed great knowledge of the Spirit World.	Pathik.png	9	9	4
38	Tashi	AIR	One of five monks in charge of the Southern Air Temple.	Tashi.png	7	9	3
39	Wan	AIR	The first Avatar.	Wan.png	10	10	5
40	Mechanist	AIR	An inventor and engineer from the Earth Kingdom who became a refugee after being displaced by a flood.	Mechanist.png	8	8	3
41	Zuko	FIRE	Prince of the Fire Nation, Fire Lord after Ozai.	Zuko.png	12	8	5
42	Azula	FIRE	Princess of the Fire Nation, daughter of Fire Lord Ozai.	Azula.png	11	7	4
43	Ozai	FIRE	Fire Lord during the final years of the Hundred Year War.	Ozai.png	9	9	4
44	Ty Lee	FIRE	Skilled acrobatic, mastering chi blocking martial arts.	Ty Lee.png	9	4	2
45	Combustion Man	FIRE	Firebending assassin and silent bounty hunter that was hired by Zuko to eliminate Aang.	Combustion Man.png	11	4	3
46	Chit Sang	FIRE	Inmate at the Boiling Rock prison in the Fire Nation.	Chit Sang.png	7	4	1
48	Zhao	FIRE	Leader of the Fire Nation Navy that is obsessed to capture Aang.	Zhao.png	8	5	2
49	Mai	FIRE	Main ally of Princess Azula, proficient at throwing stilettos.	Mai.png	7	6	2
50	Roku	FIRE	Avatar from Fire Nation, predecessor of Aang.	Roku.png	14	6	5
51	Sozin	FIRE	Instigator of the Hundred Year War.	Sozin.png	9	7	3
52	Great Sage	FIRE	Leader of 5 Fire Sages who resided on Crescent Island.	Great Sage.png	8	3	1
53	Bumi	EARTH	King of Omashu, childhood friend of Aang.	Bumi.png	5	12	4
54	Cabbage Merchant	EARTH	Earth Kingdom businessman and founder of Cabbage Corb.	Cabbage Merchant.png	2	8	1
55	The Boulder	EARTH	Professional earthbending westler who participated in the Earth Rumble tournaments.	The Boulder.png	9	9	4
56	Haru	EARTH	Skilled teenager earthbender that hides his skill because of Fire Nation attack.	Haru.png	6	10	3
57	Jet	EARTH	Teenage leader of Earth Kingdom refugees that called themselves Freedom Fighters.	Jet.png	8	5	2
58	Jin Wei	EARTH	Legendary patriarch of the Gan Jin tribe.	Jin Wei.png	6	5	1
59	Kyoshi	EARTH	Earth Kingdom Avatar, predecessor of Avatar Roku	Kyoshi.png	5	15	5
60	Toph	EARTH	Earthbending master that discover metalbending.	Toph.png	12	8	5
61	Long Feng	EARTH	Grand Secretariat of Ba Sing Se and the leader of the Dai Li.	Long Feng.png	4	11	3
62	June	EARTH	Bounty hunter with a shirshu as her pet.	June.png	5	8	2
63	Suki	EARTH	Leader of Kyoshi Warrior.	Suki.png	8	8	3
64	Pipsqueak	EARTH	Strongest member of Freedom Fighters.	Pipsqueak.png	3	10	2
